countrycode,input_adm_area_1,input_adm_area_2,input_adm_area_3,adm_area_1,adm_area_2,adm_area_3,gid
USA,Arkansas,Perry,,Arkansas,Perry,,USA.4.53_1
USA,Arkansas,Phillips,,Arkansas,Phillips,,USA.4.54_1
USA,Arkansas,Pike,,Arkansas,Pike,,USA.4.55_1
USA,Arkansas,Poinsett,,Arkansas,Poinsett,,USA.4.56_1
USA,Arkansas,Polk,,Arkansas,Polk,,USA.4.57_1
USA,Arkansas,Pope,,Arkansas,Pope,,USA.4.58_1
USA,Arkansas,Prairie,,Arkansas,Prairie,,USA.4.59_1
USA,Arkansas,Pulaski,,Arkansas,Pulaski,,USA.4.60_1
USA,Arkansas,Randolph,,Arkansas,Randolph,,USA.4.61_1
USA,Arkansas,Saline,,Arkansas,Saline,,USA.4.63_1
USA,Arkansas,Scott,,Arkansas,Scott,,USA.4.64_1
USA,Arkansas,Searcy,,Arkansas,Searcy,,USA.4.65_1
USA,Arkansas,Sebastian,,Arkansas,Sebastian,,USA.4.66_1
USA,Arkansas,Sevier,,Arkansas,Sevier,,USA.4.67_1
USA,Arkansas,Sharp,,Arkansas,Sharp,,USA.4.68_1
USA,Arkansas,St. Francis,,Arkansas,Saint Francis,,USA.4.62_1
USA,Arkansas,Stone,,Arkansas,Stone,,USA.4.69_1
USA,Arkansas,Union,,Arkansas,Union,,USA.4.70_1
USA,Arkansas,Van Buren,,Arkansas,Van Buren,,USA.4.71_1
USA,Arkansas,Washington,,Arkansas,Washington,,USA.4.72_1
USA,Arkansas,White,,Arkansas,White,,USA.4.73_1
USA,Arkansas,Woodruff,,Arkansas,Woodruff,,USA.4.74_1
USA,Arkansas,Yell,,Arkansas,Yell,,USA.4.75_1
USA,California,Alameda,,California,Alameda,,USA.5.1_1
USA,California,Alpine,,California,Alpine,,USA.5.2_1
USA,California,Amador,,California,Amador,,USA.5.3_1
USA,California,Butte,,California,Butte,,USA.5.4_1
USA,California,Calaveras,,California,Calaveras,,USA.5.5_1
USA,California,Colusa,,California,Colusa,,USA.5.6_1
USA,California,Contra Costa,,California,Contra Costa,,USA.5.7_1
USA,California,Del Norte,,California,Del Norte,,USA.5.8_1
USA,California,El Dorado,,California,El Dorado,,USA.5.9_1
USA,California,Fresno,,California,Fresno,,USA.5.10_1
USA,California,Glenn,,California,Glenn,,USA.5.11_1
USA,California,Humboldt,,California,Humboldt,,USA.5.12_1
USA,California,Imperial,,California,Imperial,,USA.5.13_1
USA,California,Inyo,,California,Inyo,,USA.5.14_1
USA,California,Kern,,California,Kern,,USA.5.15_1
USA,California,Kings,,California,Kings,,USA.5.16_1
USA,California,Lake,,California,Lake,,USA.5.17_1
USA,California,Lassen,,California,Lassen,,USA.5.18_1
USA,California,Los Angeles,,California,Los Angeles,,USA.5.19_1
USA,California,Madera,,California,Madera,,USA.5.20_1
USA,California,Marin,,California,Marin,,USA.5.21_1
USA,California,Mariposa,,California,Mariposa,,USA.5.22_1
USA,California,Mendocino,,California,Mendocino,,USA.5.23_1
USA,California,Merced,,California,Merced,,USA.5.24_1
USA,California,Mono,,California,Mono,,USA.5.26_1
USA,California,Monterey,,California,Monterey,,USA.5.27_1
USA,California,Napa,,California,Napa,,USA.5.28_1
USA,California,Nevada,,California,Nevada,,USA.5.29_1
USA,California,Orange,,California,Orange,,USA.5.30_1
USA,California,Placer,,California,Placer,,USA.5.31_1
USA,California,Plumas,,California,Plumas,,USA.5.32_1
USA,California,Riverside,,California,Riverside,,USA.5.33_1
USA,California,Sacramento,,California,Sacramento,,USA.5.34_1
USA,California,San Benito,,California,San Benito,,USA.5.35_1
USA,California,San Bernardino,,California,San Bernardino,,USA.5.36_1
USA,California,San Diego,,California,San Diego,,USA.5.37_1
USA,California,San Francisco,,California,San Francisco,,USA.5.38_1
USA,California,San Joaquin,,California,San Joaquin,,USA.5.39_1
USA,California,San Luis Obispo,,California,San Luis Obispo,,USA.5.40_1
USA,California,San Mateo,,California,San Mateo,,USA.5.41_1
USA,California,Santa Barbara,,California,Santa Barbara,,USA.5.42_1
USA,California,Santa Clara,,California,Santa Clara,,USA.5.43_1
USA,California,Santa Cruz,,California,Santa Cruz,,USA.5.44_1
USA,California,Shasta,,California,Shasta,,USA.5.45_1
USA,California,Sierra,,California,Sierra,,USA.5.46_1
USA,California,Siskiyou,,California,Siskiyou,,USA.5.47_1
USA,California,Solano,,California,Solano,,USA.5.48_1
USA,California,Sonoma,,California,Sonoma,,USA.5.49_1
USA,California,Stanislaus,,California,Stanislaus,,USA.5.50_1
USA,California,Sutter,,California,Sutter,,USA.5.51_1
USA,California,Tehama,,California,Tehama,,USA.5.52_1
USA,California,Trinity,,California,Trinity,,USA.5.53_1
USA,California,Tulare,,California,Tulare,,USA.5.54_1
USA,California,Tuolumne,,California,Tuolumne,,USA.5.55_1
USA,California,Ventura,,California,Ventura,,USA.5.56_1
USA,California,Yolo,,California,Yolo,,USA.5.57_1
USA,California,Yuba,,California,Yuba,,USA.5.58_1
USA,Colorado,Adams,,Colorado,Adams,,USA.6.1_1
USA,Colorado,Alamosa,,Colorado,Alamosa,,USA.6.2_1
USA,Colorado,Arapahoe,,Colorado,Arapahoe,,USA.6.3_1
USA,Colorado,Archuleta,,Colorado,Archuleta,,USA.6.4_1
USA,Colorado,Baca,,Colorado,Baca,,USA.6.5_1
USA,Colorado,Bent,,Colorado,Bent,,USA.6.6_1
USA,Colorado,Boulder,,Colorado,Boulder,,USA.6.7_1
USA,Colorado,Broomfield,,Colorado,Broomfield,,USA.6.8_1
USA,Colorado,Chaffee,,Colorado,Chaffee,,USA.6.9_1
USA,Colorado,Cheyenne,,Colorado,Cheyenne,,USA.6.10_1
USA,Colorado,Clear Creek,,Colorado,Clear Creek,,USA.6.11_1
USA,Colorado,Conejos,,Colorado,Conejos,,USA.6.12_1
USA,Colorado,Costilla,,Colorado,Costilla,,USA.6.13_1
USA,Colorado,Crowley,,Colorado,Crowley,,USA.6.14_1
USA,Colorado,Custer,,Colorado,Custer,,USA.6.15_1
USA,Colorado,Delta,,Colorado,Delta,,USA.6.16_1
USA,Colorado,Denver,,Colorado,Denver,,USA.6.17_1
USA,Colorado,Douglas,,Colorado,Douglas,,USA.6.19_1
USA,Colorado,Eagle,,Colorado,Eagle,,USA.6.20_1
USA,Colorado,El Paso,,Colorado,El Paso,,USA.6.21_1
USA,Colorado,Elbert,,Colorado,Elbert,,USA.6.22_1
USA,Colorado,Fremont,,Colorado,Fremont,,USA.6.23_1
USA,Colorado,Garfield,,Colorado,Garfield,,USA.6.24_1
USA,Colorado,Gilpin,,Colorado,Gilpin,,USA.6.25_1
USA,Colorado,Grand,,Colorado,Grand,,USA.6.26_1
USA,Colorado,Gunnison,,Colorado,Gunnison,,USA.6.27_1
USA,Colorado,Hinsdale,,Colorado,Hinsdale,,USA.6.28_1
USA,Colorado,Huerfano,,Colorado,Huerfano,,USA.6.29_1
USA,Colorado,Jefferson,,Colorado,Jefferson,,USA.6.31_1
USA,Colorado,Kit Carson,,Colorado,Kit Carson,,USA.6.33_1
USA,Colorado,La Plata,,Colorado,La Plata,,USA.6.34_1
USA,Colorado,Lake,,Colorado,Lake,,USA.6.35_1
USA,Colorado,Larimer,,Colorado,Larimer,,USA.6.36_1
USA,Colorado,Las Animas,,Colorado,Las Animas,,USA.6.37_1
USA,Colorado,Lincoln,,Colorado,Lincoln,,USA.6.38_1
USA,Colorado,Logan,,Colorado,Logan,,USA.6.39_1
USA,Colorado,Mesa,,Colorado,Mesa,,USA.6.40_1
USA,Colorado,Mineral,,Colorado,Mineral,,USA.6.41_1
USA,Colorado,Moffat,,Colorado,Moffat,,USA.6.42_1
USA,Colorado,Montezuma,,Colorado,Montezuma,,USA.6.43_1
USA,Colorado,Montrose,,Colorado,Montrose,,USA.6.44_1
USA,Colorado,Morgan,,Colorado,Morgan,,USA.6.45_1
USA,Colorado,Otero,,Colorado,Otero,,USA.6.46_1
USA,Colorado,Ouray,,Colorado,Ouray,,USA.6.47_1
USA,Colorado,Park,,Colorado,Park,,USA.6.48_1
USA,Colorado,Phillips,,Colorado,Phillips,,USA.6.49_1
USA,Colorado,Pitkin,,Colorado,Pitkin,,USA.6.50_1
USA,Colorado,Prowers,,Colorado,Prowers,,USA.6.51_1
USA,Colorado,Pueblo,,Colorado,Pueblo,,USA.6.52_1
USA,Colorado,Rio Blanco,,Colorado,Rio Blanco,,USA.6.53_1
USA,Colorado,Rio Grande,,Colorado,Rio Grande,,USA.6.54_1
USA,Colorado,Routt,,Colorado,Routt,,USA.6.55_1
USA,Colorado,Saguache,,Colorado,Saguache,,USA.6.56_1
USA,Colorado,San Juan,,Colorado,San Juan,,USA.6.57_1
USA,Colorado,San Miguel,,Colorado,San Miguel,,USA.6.58_1
USA,Colorado,Summit,,Colorado,Summit,,USA.6.60_1
USA,Colorado,Teller,,Colorado,Teller,,USA.6.61_1
USA,Colorado,Washington,,Colorado,Washington,,USA.6.62_1
USA,Colorado,Weld,,Colorado,Weld,,USA.6.63_1
USA,Colorado,Yuma,,Colorado,Yuma,,USA.6.64_1
USA,Connecticut,Fairfield,,Connecticut,Fairfield,,USA.7.1_1
USA,Connecticut,Hartford,,Connecticut,Hartford,,USA.7.2_1
USA,Connecticut,Litchfield,,Connecticut,Litchfield,,USA.7.3_1
USA,Connecticut,Middlesex,,Connecticut,Middlesex,,USA.7.4_1
USA,Connecticut,New Haven,,Connecticut,New Haven,,USA.7.5_1
USA,Connecticut,New London,,Connecticut,New London,,USA.7.6_1
USA,Connecticut,Tolland,,Connecticut,Tolland,,USA.7.7_1
USA,Connecticut,Windham,,Connecticut,Windham,,USA.7.8_1
USA,Delaware,Kent,,Delaware,Kent,,USA.8.1_1
USA,Delaware,New Castle,,Delaware,New Castle,,USA.8.2_1
USA,Delaware,Sussex,,Delaware,Sussex,,USA.8.3_1
USA,District of Columbia,District of Columbia,,District of Columbia,District of Columbia,,USA.9.1_1
USA,Florida,Alachua,,Florida,Alachua,,USA.10.1_1
USA,Florida,Baker,,Florida,Baker,,USA.10.2_1
USA,Florida,Bay,,Florida,Bay,,USA.10.3_1
USA,Florida,Bradford,,Florida,Bradford,,USA.10.4_1
USA,Florida,Brevard,,Florida,Brevard,,USA.10.5_1
USA,Florida,Broward,,Florida,Broward,,USA.10.6_1
USA,Florida,Calhoun,,Florida,Calhoun,,USA.10.7_1
USA,Florida,Charlotte,,Florida,Charlotte,,USA.10.8_1
USA,Florida,Citrus,,Florida,Citrus,,USA.10.9_1
USA,Florida,Clay,,Florida,Clay,,USA.10.10_1
USA,Florida,Collier,,Florida,Collier,,USA.10.11_1
USA,Florida,Columbia,,Florida,Columbia,,USA.10.12_1
USA,Florida,DeSoto,,Florida,Desoto,,USA.10.13_1
USA,Florida,Dixie,,Florida,Dixie,,USA.10.14_1
USA,Florida,Duval,,Florida,Duval,,USA.10.15_1
USA,Florida,Escambia,,Florida,Escambia,,USA.10.16_1
USA,Florida,Flagler,,Florida,Flagler,,USA.10.17_1
USA,Florida,Franklin,,Florida,Franklin,,USA.10.18_1
USA,Florida,Gadsden,,Florida,Gadsden,,USA.10.19_1
USA,Florida,Gilchrist,,Florida,Gilchrist,,USA.10.20_1
USA,Florida,Glades,,Florida,Glades,,USA.10.21_1
USA,Florida,Gulf,,Florida,Gulf,,USA.10.22_1
USA,Florida,Hamilton,,Florida,Hamilton,,USA.10.23_1
USA,Florida,Hardee,,Florida,Hardee,,USA.10.24_1
USA,Florida,Hendry,,Florida,Hendry,,USA.10.25_1
USA,Florida,Hernando,,Florida,Hernando,,USA.10.26_1
USA,Florida,Highlands,,Florida,Highlands,,USA.10.27_1
USA,Florida,Hillsborough,,Florida,Hillsborough,,USA.10.28_1
USA,Florida,Holmes,,Florida,Holmes,,USA.10.29_1
USA,Florida,Indian River,,Florida,Indian River,,USA.10.30_1
USA,Florida,Jackson,,Florida,Jackson,,USA.10.31_1
USA,Florida,Jefferson,,Florida,Jefferson,,USA.10.32_1
USA,Florida,Lafayette,,Florida,Lafayette,,USA.10.33_1
USA,Florida,Lake,,Florida,Lake,,USA.10.34_1
USA,Florida,Lee,,Florida,Lee,,USA.10.35_1
USA,Florida,Leon,,Florida,Leon,,USA.10.36_1
USA,Florida,Levy,,Florida,Levy,,USA.10.37_1
USA,Florida,Liberty,,Florida,Liberty,,USA.10.38_1
USA,Florida,Madison,,Florida,Madison,,USA.10.39_1
USA,Florida,Manatee,,Florida,Manatee,,USA.10.40_1
USA,Florida,Marion,,Florida,Marion,,USA.10.41_1
USA,Florida,Martin,,Florida,Martin,,USA.10.42_1
USA,Florida,Miami-Dade,,Florida,Miami-Dade,,USA.10.43_1
USA,Florida,Monroe,,Florida,Monroe,,USA.10.44_1
USA,Florida,Nassau,,Florida,Nassau,,USA.10.45_1
USA,Florida,Okaloosa,,Florida,Okaloosa,,USA.10.46_1
USA,Florida,Okeechobee,,Florida,Okeechobee,,USA.10.47_1
USA,Florida,Orange,,Florida,Orange,,USA.10.48_1
USA,Florida,Osceola,,Florida,Osceola,,USA.10.49_1
USA,Florida,Palm Beach,,Florida,Palm Beach,,USA.10.50_1
USA,Florida,Pasco,,Florida,Pasco,,USA.10.51_1
USA,Florida,Pinellas,,Florida,Pinellas,,USA.10.52_1
USA,Florida,Polk,,Florida,Polk,,USA.10.53_1
USA,Florida,Putnam,,Florida,Putnam,,USA.10.54_1
USA,Florida,Santa Rosa,,Florida,Santa Rosa,,USA.10.57_1
USA,Florida,Sarasota,,Florida,Sarasota,,USA.10.58_1
USA,Florida,Seminole,,Florida,Seminole,,USA.10.59_1
USA,Florida,St. Johns,,Florida,Saint Johns,,USA.10.55_1
USA,Florida,St. Lucie,,Florida,Saint Lucie,,USA.10.56_1
USA,Florida,Sumter,,Florida,Sumter,,USA.10.60_1
USA,Florida,Suwannee,,Florida,Suwannee,,USA.10.61_1
